// $r =  8 relative value
// $w = 16 word
// $v =  8 value
// $o =  8 relative offset
// $j =  8 relative jump
// $a = 16 address
00	nop
ed56	im 1
ed57	ld a,i
ed58	in e,(c)
ed59	out (c),e
ed5a	adc hl,de
ed5b$a	ld de,(**)
ed5c	neg
ed5d	retn
ed5e	im 2
ed5f	ld a,r
ed60	in h,(c)
ed61	out (c),h
ed62	sbc hl,hl
ed63$a	ld (**),hl
ed64	neg
ed65	retn
ed66	im 0
ed67	rrd
ed68	in l,(c)
ed69	out (c),l
ed6a	adc hl,hl
ed6b$a	ld hl,(**)
ed6c	neg
ed6d	retn
ed6e	im 0/1
ed6f	rld
ed70	in (c)
ed71	out (c),0
ed72	sbc hl,sp
ed73$a	ld (**),sp
ed74	neg
ed75	retn
ed76	im 1
ed77
ed78	in a,(c)
ed79	out (c),a
ed7a	adc hl,sp
ed7b$a	ld sp,(**)
ed7c	neg
ed7d	retn
ed7e	im 2

eda0	ldi
eda1	cpi
eda2	ini
eda3	outi

eda8	ldd
eda9	cpd
edaa	ind
edab	outd

edb0	ldir
edb1	cpir
edb2	inir
edb3	otir

edb8	lddr
edb9	cpdr
edba	indr
edbb	otdr

cb00	rlc b
cb01	rlc c
cb02	rlc d
cb03	rlc e
cb04	rlc h
cb05	rlc l
cb06	rlc (hl)
cb07	rlc a
cb08	rrc b
cb09	rrc c
cb0a	rrc d
cb0b	rrc e
cb0c	rrc h
cb0d	rrc l
cb0e	rrc (hl)
cb0f	rrc a
cb10	rl b
cb11	rl c
cb12	rl d
cb13	rl e
cb14	rl h
cb15	rl l
cb16	rl (hl)
cb17	rl a
cb18	rr b
cb19	rr c
cb1a	rr d
cb1b	rr e
cb1c	rr h
cb1d	rr l
cb1e	rr (hl)
cb1f	rr a
cb20	sla b
cb21	sla c
cb22	sla d
cb23	sla e
cb24	sla h
cb25	sla l
cb26	sla (hl)
cb27	sla a
cb28	sra b
cb29	sra c
cb2a	sra d
cb2b	sra e
cb2c	sra h
cb2d	sra l
cb2e	sra (hl)
cb2f	sra a
cb30	sll b
cb31	sll c
cb32	sll d
cb33	sll e
cb34	sll h
cb35	sll l
cb36	sll (hl)
cb37	sll a
cb38	srl b
cb39	srl c
cb3a	srl d
cb3b	srl e
cb3c	srl h
cb3d	srl l
cb3e	srl (hl)
cb3f	srl a
cb40	bit 0,b
cb41	bit 0,c
cb42	bit 0,d
cb43	bit 0,e
cb44	bit 0,h
cb45	bit 0,l
cb46	bit 0,(hl)
cb47	bit 0,a
cb48	bit 1,b
cb49	bit 1,c
cb4a	bit 1,d
cb4b	bit 1,e
cb4c	bit 1,h
cb4d	bit 1,l
cb4e	bit 1,(hl)
cb4f	bit 1,a
cb50	bit 2,b
cb51	bit 2,c
cb52	bit 2,d
cb53	bit 2,e
cb54	bit 2,h
cb55	bit 2,l
cb56	bit 2,(hl)
cb57	bit 2,a
cb58	bit 3,b
cb59	bit 3,c
cb5a	bit 3,d
cb5b	bit 3,e
cb5c	bit 3,h
cb5d	bit 3,l
cb5e	bit 3,(hl)
cb5f	bit 3,a
cb60	bit 4,b
cb61	bit 4,c
cb62	bit 4,d
cb63	bit 4,e
cb64	bit 4,h
cb65	bit 4,l
cb66	bit 4,(hl)
cb67	bit 4,a
cb68	bit 5,b
cb69	bit 5,c
cb6a	bit 5,d
cb6b	bit 5,e
cb6c	bit 5,h
cb6d	bit 5,l
cb6e	bit 5,(hl)
cb6f	bit 5,a
cb70	bit 6,b
cb71	bit 6,c
cb72	bit 6,d
cb73	bit 6,e
cb74	bit 6,h
cb75	bit 6,l
cb76	bit 6,(hl)
cb77	bit 6,a
cb78	bit 7,b
cb79	bit 7,c
cb7a	bit 7,d
cb7b	bit 7,e
cb7c	bit 7,h
cb7d	bit 7,l
cb7e	bit 7,(hl)
cb7f	bit 7,a
cb80	res 0,b
cb81	res 0,c
cb82	res 0,d
cb83	res 0,e
cb84	res 0,h
cb85	res 0,l
cb86	res 0,(hl)
cb87	res 0,a
cb88	res 1,b
cb89	res 1,c
cb8a	res 1,d
cb8b	res 1,e
cb8c	res 1,h
cb8d	res 1,l
cb8e	res 1,(hl)
cb8f	res 1,a
cb90	res 2,b
cb91	res 2,c
cb92	res 2,d
cb93	res 2,e
cb94	res 2,h
cb95	res 2,l
cb96	res 2,(hl)
cb97	res 2,a
cb98	res 3,b
cb99	res 3,c
cb9a	res 3,d
cb9b	res 3,e
cb9c	res 3,h
cb9d	res 3,l
cb9e	res 3,(hl)
cb9f	res 3,a
cba0	res 4,b
cba1	res 4,c
cba2	res 4,d
cba3	res 4,e
cba4	res 4,h
cba5	res 4,l
cba6	res 4,(hl)
cba7	res 4,a
cba8	res 5,b
cba9	res 5,c
cbaa	res 5,d
cbab	res 5,e
cbac	res 5,h
cbad	res 5,l
cbae	res 5,(hl)
cbaf	res 5,a
cbb0	res 6,b
cbb1	res 6,c
cbb2	res 6,d
cbb3	res 6,e
cbb4	res 6,h
cbb5	res 6,l
cbb6	res 6,(hl)
cbb7	res 6,a
cbb8	res 7,b
cbb9	res 7,c
cbba	res 7,d
cbbb	res 7,e
cbbc	res 7,h
cbbd	res 7,l
cbbe	res 7,(hl)
cbbf	res 7,a
cbc0	set 0,b
cbc1	set 0,c
cbc2	set 0,d
cbc3	set 0,e
cbc4	set 0,h
cbc5	set 0,l
cbc6	set 0,(hl)
cbc7	set 0,a
cbc8	set 1,b
cbc9	set 1,c
cbca	set 1,d
cbcb	set 1,e
cbcc	set 1,h
cbcd	set 1,l
cbce	set 1,(hl)
cbcf	set 1,a
cbd0	set 2,b
cbd1	set 2,c
cbd2	set 2,d
cbd3	set 2,e
cbd4	set 2,h
cbd5	set 2,l
cbd6	set 2,(hl)
cbd7	set 2,a
cbd8	set 3,b
cbd9	set 3,c
cbda	set 3,d
cbdb	set 3,e
cbdc	set 3,h
cbdd	set 3,l
cbde	set 3,(hl)
cbdf	set 3,a
cbe0	set 4,b
cbe1	set 4,c
cbe2	set 4,d
cbe3	set 4,e
cbe4	set 4,h
cbe5	set 4,l
cbe6	set 4,(hl)
cbe7	set 4,a
cbe8	set 5,b
cbe9	set 5,c
cbea	set 5,d
cbeb	set 5,e
cbec	set 5,h
cbed	set 5,l
cbee	set 5,(hl)
cbef	set 5,a
cbf0	set 6,b
cbf1	set 6,c
cbf2	set 6,d
cbf3	set 6,e
cbf4	set 6,h
cbf5	set 6,l
cbf6	set 6,(hl)
cbf7	set 6,a
cbf8	set 7,b
cbf9	set 7,c
cbfa	set 7,d
cbfb	set 7,e
cbfc	set 7,h
cbfd	set 7,l
cbfe	set 7,(hl)
cbff	set 7,a










dd09	add ix,bc















dd19	add ix,de







dd21$w	ld ix,**
dd22$a	ld (**),ix
dd23	inc ix
dd24	inc ixh
dd25	dec ixh
dd26$v	ld ixh,*


dd29	add ix,ix
dd2a$a	ld ix,(**)
dd2b	dec ix
dd2c	inc ixl
dd2d	dec ixl
dd2e$v	ld ixl,*





dd34$o	inc (ix+*)
dd35$o	dec (ix+*)
dd36$o$v	ld (ix+*),*


dd39	add ix,sp










dd44	ld b,ixh
dd45	ld b,ixl
dd46$o	ld b,(ix+*)





dd4c	ld c,ixh
dd4d	ld c,ixl
dd4e$o	ld c,(ix+*)





dd54	ld d,ixh
dd55	ld d,ixl
dd56$o	ld d,(ix+*)





dd5c	ld e,ixh
dd5d	ld e,ixl
dd5e$o	ld e,(ix+*)

dd60	ld ixh,b
dd61	ld ixh,c
dd62	ld ixh,d
dd63	ld ixh,e
dd64	ld ixh,ixh
dd65	ld ixh,ixl
dd66$o	ld h,(ix+*)
dd67	ld ixh,a
dd68	ld ixl,b
dd69	ld ixl,c
dd6a	ld ixl,d
dd6b	ld ixl,e
dd6c	ld ixl,ixh
dd6d	ld ixl,ixl
dd6e$o	ld l,(ix+*)
dd6f	ld ixl,a
dd70$o	ld (ix+*),b
dd71$o	ld (ix+*),c
dd72$o	ld (ix+*),d
dd73$o	ld (ix+*),e
dd74$o	ld (ix+*),h
dd75$o	ld (ix+*),l

dd77$o	ld (ix+*),a

dd7c	ld a,ixh
dd7d	ld a,ixl
dd7e$o	ld a,(ix+*)

dd84	add a,ixh
dd85	add a,ixl
dd86$o	add a,(ix+*)

dd8c	adc a,ixh
dd8d	adc a,ixl
dd8e$o	adc a,(ix+*)

dd94	sub ixh
dd95	sub ixl
dd96$o	sub (ix+*)

dd9c	sbc a,ixh
dd9d	sbc a,ixl
dd9e$o	sbc a,(ix+*)

dda4	and ixh
dda5	and ixl
dda6$o	and (ix+*)

ddac	xor ixh
ddad	xor ixl
ddae$o	xor (ix+*)

ddb4	or ixh
ddb5	or ixl
ddb6$o	or (ix+*)

ddbc	cp ixh
ddbd	cp ixl
ddbe$o	cp (ix+*)

dde1	pop ix

dde3	ex (sp),ix

dde5	push ix

dde9	jp (ix)

ddf9	ld sp,ix

ddcb$o00	rlc (ix+*),b
ddcb$o01	rlc (ix+*),c
ddcb$o02	rlc (ix+*),d
ddcb$o03	rlc (ix+*),e
ddcb$o04	rlc (ix+*),h
ddcb$o05	rlc (ix+*),l
ddcb$o06	rlc (ix+*)
ddcb$o07	rlc (ix+*),a
ddcb$o08	rrc (ix+*),b
ddcb$o09	rrc (ix+*),c
ddcb$o0a	rrc (ix+*),d
ddcb$o0b	rrc (ix+*),e
ddcb$o0c	rrc (ix+*),h
ddcb$o0d	rrc (ix+*),l
ddcb$o0e	rrc (ix+*)
ddcb$o0f	rrc (ix+*),a
ddcb$o10	rl (ix+*),b
ddcb$o11	rl (ix+*),c
ddcb$o12	rl (ix+*),d
ddcb$o13	rl (ix+*),e
ddcb$o14	rl (ix+*),h
ddcb$o15	rl (ix+*),l
ddcb$o16	rl (ix+*)
ddcb$o17	rl (ix+*),a
ddcb$o18	rr (ix+*),b
ddcb$o19	rr (ix+*),c
ddcb$o1a	rr (ix+*),d
ddcb$o1b	rr (ix+*),e
ddcb$o1c	rr (ix+*),h
ddcb$o1d	rr (ix+*),l
ddcb$o1e	rr (ix+*)
ddcb$o1f	rr (ix+*),a
ddcb$o20	sla (ix+*),b
ddcb$o21	sla (ix+*),c
ddcb$o22	sla (ix+*),d
ddcb$o23	sla (ix+*),e
ddcb$o24	sla (ix+*),h
ddcb$o25	sla (ix+*),l
ddcb$o26	sla (ix+*)
ddcb$o27	sla (ix+*),a
ddcb$o28	sra (ix+*),b
ddcb$o29	sra (ix+*),c
ddcb$o2a	sra (ix+*),d
ddcb$o2b	sra (ix+*),e
ddcb$o2c	sra (ix+*),h
ddcb$o2d	sra (ix+*),l
ddcb$o2e	sra (ix+*)
ddcb$o2f	sra (ix+*),a
ddcb$o30	sll (ix+*),b
ddcb$o31	sll (ix+*),c
ddcb$o32	sll (ix+*),d
ddcb$o33	sll (ix+*),e
ddcb$o34	sll (ix+*),h
ddcb$o35	sll (ix+*),l
ddcb$o36	sll (ix+*)
ddcb$o37	sll (ix+*),a
ddcb$o38	srl (ix+*),b
ddcb$o39	srl (ix+*),c
ddcb$o3a	srl (ix+*),d
ddcb$o3b	srl (ix+*),e
ddcb$o3c	srl (ix+*),h
ddcb$o3d	srl (ix+*),l
ddcb$o3e	srl (ix+*)
ddcb$o3f	srl (ix+*),a
ddcb$o40	bit 0,(ix+*)
ddcb$o41	bit 0,(ix+*)
ddcb$o42	bit 0,(ix+*)
ddcb$o43	bit 0,(ix+*)
ddcb$o44	bit 0,(ix+*)
ddcb$o45	bit 0,(ix+*)
ddcb$o46	bit 0,(ix+*)
ddcb$o47	bit 0,(ix+*)
ddcb$o48	bit 1,(ix+*)
ddcb$o49	bit 1,(ix+*)
ddcb$o4a	bit 1,(ix+*)
ddcb$o4b	bit 1,(ix+*)
ddcb$o4c	bit 1,(ix+*)
ddcb$o4d	bit 1,(ix+*)
ddcb$o4e	bit 1,(ix+*)
ddcb$o4f	bit 1,(ix+*)
ddcb$o50	bit 2,(ix+*)
ddcb$o51	bit 2,(ix+*)
ddcb$o52	bit 2,(ix+*)
ddcb$o53	bit 2,(ix+*)
ddcb$o54	bit 2,(ix+*)
ddcb$o55	bit 2,(ix+*)
ddcb$o56	bit 2,(ix+*)
ddcb$o57	bit 2,(ix+*)
ddcb$o58	bit 3,(ix+*)
ddcb$o59	bit 3,(ix+*)
ddcb$o5a	bit 3,(ix+*)
ddcb$o5b	bit 3,(ix+*)
ddcb$o5c	bit 3,(ix+*)
ddcb$o5d	bit 3,(ix+*)
ddcb$o5e	bit 3,(ix+*)
ddcb$o5f	bit 3,(ix+*)
ddcb$o60	bit 4,(ix+*)
ddcb$o61	bit 4,(ix+*)
ddcb$o62	bit 4,(ix+*)
ddcb$o63	bit 4,(ix+*)
ddcb$o64	bit 4,(ix+*)
ddcb$o65	bit 4,(ix+*)
ddcb$o66	bit 4,(ix+*)
ddcb$o67	bit 4,(ix+*)
ddcb$o68	bit 5,(ix+*)
ddcb$o69	bit 5,(ix+*)
ddcb$o6a	bit 5,(ix+*)
ddcb$o6b	bit 5,(ix+*)
ddcb$o6c	bit 5,(ix+*)
ddcb$o6d	bit 5,(ix+*)
ddcb$o6e	bit 5,(ix+*)
ddcb$o6f	bit 5,(ix+*)
ddcb$o70	bit 6,(ix+*)
ddcb$o71	bit 6,(ix+*)
ddcb$o72	bit 6,(ix+*)
ddcb$o73	bit 6,(ix+*)
ddcb$o74	bit 6,(ix+*)
ddcb$o75	bit 6,(ix+*)
ddcb$o76	bit 6,(ix+*)
ddcb$o77	bit 6,(ix+*)
ddcb$o78	bit 7,(ix+*)
ddcb$o79	bit 7,(ix+*)
ddcb$o7a	bit 7,(ix+*)
ddcb$o7b	bit 7,(ix+*)
ddcb$o7c	bit 7,(ix+*)
ddcb$o7d	bit 7,(ix+*)
ddcb$o7e	bit 7,(ix+*)
ddcb$o7f	bit 7,(ix+*)
ddcb$o80	res 0,(ix+*),b
ddcb$o81	res 0,(ix+*),c
ddcb$o82	res 0,(ix+*),d
ddcb$o83	res 0,(ix+*),e
ddcb$o84	res 0,(ix+*),h
ddcb$o85	res 0,(ix+*),l
ddcb$o86	res 0,(ix+*)
ddcb$o87	res 0,(ix+*),a
ddcb$o88	res 1,(ix+*),b
ddcb$o89	res 1,(ix+*),c
ddcb$o8a	res 1,(ix+*),d
ddcb$o8b	res 1,(ix+*),e
ddcb$o8c	res 1,(ix+*),h
ddcb$o8d	res 1,(ix+*),l
ddcb$o8e	res 1,(ix+*)
ddcb$o8f	res 1,(ix+*),a
ddcb$o90	res 2,(ix+*),b
ddcb$o91	res 2,(ix+*),c
ddcb$o92	res 2,(ix+*),d
ddcb$o93	res 2,(ix+*),e
ddcb$o94	res 2,(ix+*),h
ddcb$o95	res 2,(ix+*),l
ddcb$o96	res 2,(ix+*)
ddcb$o97	res 2,(ix+*),a
ddcb$o98	res 3,(ix+*),b
ddcb$o99	res 3,(ix+*),c
ddcb$o9a	res 3,(ix+*),d
ddcb$o9b	res 3,(ix+*),e
ddcb$o9c	res 3,(ix+*),h
ddcb$o9d	res 3,(ix+*),l
ddcb$o9e	res 3,(ix+*)
ddcb$o9f	res 3,(ix+*),a
ddcb$oa0	res 4,(ix+*),b
ddcb$oa1	res 4,(ix+*),c
ddcb$oa2	res 4,(ix+*),d
ddcb$oa3	res 4,(ix+*),e
ddcb$oa4	res 4,(ix+*),h
ddcb$oa5	res 4,(ix+*),l
ddcb$oa6	res 4,(ix+*)
ddcb$oa7	res 4,(ix+*),a
ddcb$oa8	res 5,(ix+*),b
ddcb$oa9	res 5,(ix+*),c
ddcb$oaa	res 5,(ix+*),d
ddcb$oab	res 5,(ix+*),e
ddcb$oac	res 5,(ix+*),h
ddcb$oad	res 5,(ix+*),l
ddcb$oae	res 5,(ix+*)
ddcb$oaf	res 5,(ix+*),a
ddcb$ob0	res 6,(ix+*),b
ddcb$ob1	res 6,(ix+*),c
ddcb$ob2	res 6,(ix+*),d
ddcb$ob3	res 6,(ix+*),e
ddcb$ob4	res 6,(ix+*),h
ddcb$ob5	res 6,(ix+*),l
ddcb$ob6	res 6,(ix+*)
ddcb$ob7	res 6,(ix+*),a
ddcb$ob8	res 7,(ix+*),b
ddcb$ob9	res 7,(ix+*),c
ddcb$oba	res 7,(ix+*),d
ddcb$obb	res 7,(ix+*),e
ddcb$obc	res 7,(ix+*),h
ddcb$obd	res 7,(ix+*),l
ddcb$obe	res 7,(ix+*)
ddcb$obf	res 7,(ix+*),a
ddcb$oc0	set 0,(ix+*),b
ddcb$oc1	set 0,(ix+*),c
ddcb$oc2	set 0,(ix+*),d
ddcb$oc3	set 0,(ix+*),e
ddcb$oc4	set 0,(ix+*),h
ddcb$oc5	set 0,(ix+*),l
ddcb$oc6	set 0,(ix+*)
ddcb$oc7	set 0,(ix+*),a
ddcb$oc8	set 1,(ix+*),b
ddcb$oc9	set 1,(ix+*),c
ddcb$oca	set 1,(ix+*),d
ddcb$ocb	set 1,(ix+*),e
ddcb$occ	set 1,(ix+*),h
ddcb$ocd	set 1,(ix+*),l
ddcb$oce	set 1,(ix+*)
ddcb$ocf	set 1,(ix+*),a
ddcb$od0	set 2,(ix+*),b
ddcb$od1	set 2,(ix+*),c
ddcb$od2	set 2,(ix+*),d
ddcb$od3	set 2,(ix+*),e
ddcb$od4	set 2,(ix+*),h
ddcb$od5	set 2,(ix+*),l
ddcb$od6	set 2,(ix+*)
ddcb$od7	set 2,(ix+*),a
ddcb$od8	set 3,(ix+*),b
ddcb$od9	set 3,(ix+*),c
ddcb$oda	set 3,(ix+*),d
ddcb$odb	set 3,(ix+*),e
ddcb$odc	set 3,(ix+*),h
ddcb$odd	set 3,(ix+*),l
ddcb$ode	set 3,(ix+*)
ddcb$odf	set 3,(ix+*),a
ddcb$oe0	set 4,(ix+*),b
ddcb$oe1	set 4,(ix+*),c
ddcb$oe2	set 4,(ix+*),d
ddcb$oe3	set 4,(ix+*),e
ddcb$oe4	set 4,(ix+*),h
ddcb$oe5	set 4,(ix+*),l
ddcb$oe6	set 4,(ix+*)
ddcb$oe7	set 4,(ix+*),a
ddcb$oe8	set 5,(ix+*),b
ddcb$oe9	set 5,(ix+*),c
ddcb$oea	set 5,(ix+*),d
ddcb$oeb	set 5,(ix+*),e
ddcb$oec	set 5,(ix+*),h
ddcb$oed	set 5,(ix+*),l
ddcb$oee	set 5,(ix+*)
ddcb$oef	set 5,(ix+*),a
ddcb$of0	set 6,(ix+*),b
ddcb$of1	set 6,(ix+*),c
ddcb$of2	set 6,(ix+*),d
ddcb$of3	set 6,(ix+*),e
ddcb$of4	set 6,(ix+*),h
ddcb$of5	set 6,(ix+*),l
ddcb$of6	set 6,(ix+*)
ddcb$of7	set 6,(ix+*),a
ddcb$of8	set 7,(ix+*),b
ddcb$of9	set 7,(ix+*),c
ddcb$ofa	set 7,(ix+*),d
ddcb$ofb	set 7,(ix+*),e
ddcb$ofc	set 7,(ix+*),h
ddcb$ofd	set 7,(ix+*),l
ddcb$ofe	set 7,(ix+*)
ddcb$off	set 7,(ix+*),a

fd09 	add iy,bc

fd19	add iy,de

fd21$v	ld iy,**
fd22$a	ld (**),iy
fd23	inc iy
fd24	inc iyh
fd25	dec iyh
fd26$v	ld iyh,*

fd29	add iy,iy
fd2a$a	ld iy,(**)
fd2b	dec iy
fd2c	inc iyl
fd2d	dec iyl
fd2e$v	ld iyl,*

fd34$o	inc (iy+*)
fd35$o	dec (iy+*)
fd36$o	ld (iy+*),*

fd39	add iy,sp

fd44	ld b,iyh
fd45	ld b,iyl
fd46$o	ld b,(iy+*)

fd4c	ld c,iyh
fd4d	ld c,iyl
fd4e$o	ld c,(iy+*)

fd54	ld d,iyh
fd55	ld d,iyl
fd56$o	ld d,(iy+*)

fd5c	ld e,iyh
fd5d	ld e,iyl
fd5e$o	ld e,(iy+*)

fd60	ld iyh,b
fd61	ld iyh,c
fd62	ld iyh,d
fd63	ld iyh,e
fd64	ld iyh,iyh
fd65	ld iyh,iyl
fd66$o	ld h,(iy+*)
fd67	ld iyh,a
fd68	ld iyl,b
fd69	ld iyl,c
fd6a	ld iyl,d
fd6b	ld iyl,e
fd6c	ld iyl,iyh
fd6d	ld iyl,iyl
fd6e$o	ld l,(iy+*)
fd6f	ld iyl,a
fd70$o	ld (iy+*),b
fd71$o	ld (iy+*),c
fd72$o	ld (iy+*),d
fd73$o	ld (iy+*),e
fd74$o	ld (iy+*),h
fd75$o	ld (iy+*),l

fd77$o	ld (iy+*),a

fd7c	ld a,iyh
fd7d	ld a,iyl
fd7e$o	ld a,(iy+*)

fd84	add a,iyh
fd85	add a,iyl
fd86$o	add a,(iy+*)

fd8c	adc a,iyh
fd8d	adc a,iyl
fd8e$o	adc a,(iy+*)

fd94	sub iyh
fd95	sub iyl
fd96$o	sub (iy+*)

fd9c	sbc a,iyh
fd9d	sbc a,iyl
fd9e$o	sbc a,(iy+*)

fda4	and iyh
fda5	and iyl
fda6$o	and (iy+*)

fdac	xor iyh
fdad	xor iyl
fdae$o	xor (iy+*)

fdb4	or iyh
fdb5	or iyl
fdb6$o	or (iy+*)

fdbc	cp iyh
fdbd	cp iyl
fdbe$o	cp (iy+*)

fde1	pop iy

fde3	ex (sp),iy

fde5	push iy

fde9	jp (iy)

fdf9	ld sp,iy

// $o : relative offset
fdcb$o00	rlc (iy+*),b
fdcb$o01	rlc (iy+*),c
fdcb$o02	rlc (iy+*),d
fdcb$o03	rlc (iy+*),e
fdcb$o04	rlc (iy+*),h
fdcb$o05	rlc (iy+*),l
fdcb$o06	rlc (iy+*)
fdcb$o07	rlc (iy+*),a
fdcb$o08	rrc (iy+*),b
fdcb$o09	rrc (iy+*),c
fdcb$o0a	rrc (iy+*),d
fdcb$o0b	rrc (iy+*),e
fdcb$o0c	rrc (iy+*),h
fdcb$o0d	rrc (iy+*),l
fdcb$o0e	rrc (iy+*)
fdcb$o0f	rrc (iy+*),a
fdcb$o10	rl (iy+*),b
fdcb$o11	rl (iy+*),c
fdcb$o12	rl (iy+*),d
fdcb$o13	rl (iy+*),e
fdcb$o14	rl (iy+*),h
fdcb$o15	rl (iy+*),l
fdcb$o16	rl (iy+*)
fdcb$o17	rl (iy+*),a
fdcb$o18	rr (iy+*),b
fdcb$o19	rr (iy+*),c
fdcb$o1a	rr (iy+*),d
fdcb$o1b	rr (iy+*),e
fdcb$o1c	rr (iy+*),h
fdcb$o1d	rr (iy+*),l
fdcb$o1e	rr (iy+*)
fdcb$o1f	rr (iy+*),a
fdcb$o20	sla (iy+*),b
fdcb$o21	sla (iy+*),c
fdcb$o22	sla (iy+*),d
fdcb$o23	sla (iy+*),e
fdcb$o24	sla (iy+*),h
fdcb$o25	sla (iy+*),l
fdcb$o26	sla (iy+*)
fdcb$o27	sla (iy+*),a
